,HOG,files,label
0,[0.16738404 0.08128549 0.08879381 ... 0.00329311 0.00268164 0.02328906],./outputs/extra_images/Cars_0_Extra.png,1.0
1,[0.04075713 0.0225445  0.01578709 ... 0.00076615 0.00057267 0.01990943],./outputs/extra_images/Cars_1_Extra.png,1.0
2,[0.05791328 0.0301644  0.01479916 ... 0.00210716 0.0080829  0.04276634],./outputs/extra_images/Cars_2_Extra.png,1.0
3,"[3.80725592e-01 2.31976192e-02 5.44517115e-03 ... 2.34097479e-05
 1.08535849e-02 3.01838428e-01]",./outputs/extra_images/Cars_3_Extra.png,1.0
4,[0.18266308 0.06191982 0.07995698 ... 0.00473149 0.00289917 0.03216042],./outputs/extra_images/Cars_4_Extra.png,1.0
5,[0.02317506 0.02378299 0.00934651 ... 0.00446007 0.00060261 0.00273697],./outputs/extra_images/Cars_5_Extra.png,1.0
6,[0.26191327 0.20880769 0.21385428 ... 0.0042681  0.00615688 0.05355879],./outputs/extra_images/Cars_6_Extra.png,1.0
7,[0.4911823  0.12075989 0.03355205 ... 0.00695542 0.00872535 0.34789166],./outputs/extra_images/Cars_7_Extra.png,1.0
8,[0.0143498  0.00968738 0.00347515 ... 0.05334578 0.03487669 0.06050458],./outputs/extra_images/Cars_8_Extra.png,1.0
9,[0.3740128  0.3740128  0.02403446 ... 0.02443095 0.00778193 0.34155658],./outputs/extra_images/Cars_9_Extra.png,1.0
10,[0.04740156 0.09277956 0.06175976 ... 0.14968581 0.30627781 0.30627781],./outputs/extra_images/Cars_10_Extra.png,1.0
11,[0.01364561 0.01009374 0.15613842 ... 0.01357017 0.04532703 0.10615313],./outputs/extra_images/Cars_11_Extra.png,1.0
12,[0.45279008 0.45279008 0.40109161 ... 0.02997637 0.01881895 0.01566938],./outputs/extra_images/Cars_12_Extra.png,1.0
13,[0.10543238 0.17824991 0.09636504 ... 0.00606169 0.00646999 0.01172461],./outputs/extra_images/Cars_13_Extra.png,1.0
14,[0.08502217 0.13956198 0.10196697 ... 0.25565717 0.34094006 0.22461164],./outputs/extra_images/Cars_14_Extra.png,1.0
15,[0.39389282 0.1239812  0.06849755 ... 0.06094103 0.21986608 0.36075425],./outputs/extra_images/Cars_15_Extra.png,1.0
16,[0.0833016  0.25437737 0.26192337 ... 0.01284698 0.0354477  0.27857435],./outputs/extra_images/Cars_16_Extra.png,1.0
17,[0.33783302 0.28460982 0.08617246 ... 0.05318002 0.06825685 0.4388108 ],./outputs/extra_images/Cars_17_Extra.png,1.0
18,[0.23121059 0.151214   0.03705472 ... 0.23768786 0.27139774 0.24380931],./outputs/extra_images/Cars_18_Extra.png,1.0
19,[0.03255741 0.01140961 0.05080593 ... 0.30005997 0.14074466 0.12979123],./outputs/extra_images/Cars_19_Extra.png,1.0
20,[0.21220708 0.1523754  0.15341297 ... 0.04578015 0.03562842 0.0670616 ],./outputs/extra_images/Cars_20_Extra.png,1.0
21,[0.45654941 0.33181247 0.00320628 ... 0.0041138  0.00384755 0.4580197 ],./outputs/extra_images/Cars_21_Extra.png,1.0
22,[0.08311337 0.14387037 0.22590348 ... 0.11297738 0.13534841 0.1856309 ],./outputs/extra_images/Cars_22_Extra.png,1.0
23,[0.01266837 0.01155917 0.05043872 ... 0.01416635 0.00899081 0.00663313],./outputs/extra_images/Cars_23_Extra.png,1.0
24,[0.5036217  0.37071264 0.02440852 ... 0.07706226 0.0560035  0.05223469],./outputs/extra_images/Cars_24_Extra.png,1.0
25,[0.02030608 0.0077669  0.09619422 ... 0.00387545 0.0045744  0.00125964],./outputs/extra_images/Cars_25_Extra.png,1.0
26,[0.1070224  0.06676622 0.08578409 ... 0.07234465 0.11264361 0.13308787],./outputs/extra_images/Cars_26_Extra.png,1.0
27,[0.4213689  0.41780299 0.00346428 ... 0.01906959 0.00929545 0.42107961],./outputs/extra_images/Cars_27_Extra.png,1.0
28,[0.3634786  0.3634786  0.05065966 ... 0.0183955  0.00224787 0.00895164],./outputs/extra_images/Cars_28_Extra.png,1.0
29,[0.36742529 0.36742529 0.02453304 ... 0.0015093  0.00709147 0.35550401],./outputs/extra_images/Cars_29_Extra.png,1.0
30,[0.10559607 0.0338935  0.02341124 ... 0.02714653 0.03608555 0.02233864],./outputs/extra_images/Cars_30_Extra.png,1.0
31,[0.00470028 0.00113759 0.14393224 ... 0.00305883 0.00134177 0.00155499],./outputs/extra_images/Cars_31_Extra.png,1.0
32,[0.361642   0.361642   0.25548917 ... 0.00256477 0.00958516 0.07341579],./outputs/extra_images/Cars_32_Extra.png,1.0
33,[0.3784588  0.3784588  0.10766437 ... 0.00110958 0.007058   0.30826759],./outputs/extra_images/Cars_33_Extra.png,1.0
34,[0.04295394 0.03327325 0.02741974 ... 0.00532357 0.00438732 0.0696833 ],./outputs/extra_images/Cars_34_Extra.png,1.0
35,[0.02324222 0.01541877 0.01049591 ... 0.00055424 0.00065537 0.03171566],./outputs/extra_images/Cars_35_Extra.png,1.0
36,[0.16168629 0.09115838 0.08212557 ... 0.0145232  0.00535108 0.01038668],./outputs/extra_images/Cars_36_Extra.png,1.0
37,[0.03605512 0.01366003 0.05139763 ... 0.0040953  0.00117066 0.0026186 ],./outputs/extra_images/Cars_37_Extra.png,1.0
38,[0.1426568  0.0888996  0.09871386 ... 0.08411878 0.05224012 0.04064956],./outputs/extra_images/Cars_38_Extra.png,1.0
39,[0.4776082  0.20210931 0.01597854 ... 0.01940234 0.01975167 0.46871325],./outputs/extra_images/Cars_39_Extra.png,1.0
40,[0.51314199 0.24328527 0.01367953 ... 0.01979598 0.00926307 0.03025719],./outputs/extra_images/Cars_40_Extra.png,1.0
41,[0.01110271 0.00472912 0.0926469  ... 0.00176389 0.00162538 0.00282356],./outputs/extra_images/Cars_41_Extra.png,1.0
42,[0.11136425 0.10471667 0.0858199  ... 0.05039149 0.091731   0.17146747],./outputs/extra_images/Cars_42_Extra.png,1.0
43,[0.41184136 0.41184136 0.03282494 ... 0.01833321 0.00776712 0.42761832],./outputs/extra_images/Cars_43_Extra.png,1.0
44,[0.36786553 0.36786553 0.01041906 ... 0.00405643 0.0158232  0.03264934],./outputs/extra_images/Cars_44_Extra.png,1.0
45,[0.38998535 0.38998535 0.0326303  ... 0.00416825 0.00632481 0.39835221],./outputs/extra_images/Cars_45_Extra.png,1.0
46,[0.15443566 0.14204149 0.08993822 ... 0.00634891 0.01423824 0.04483049],./outputs/extra_images/Cars_46_Extra.png,1.0
47,"[2.32163514e-03 2.35547079e-03 2.00862706e-01 ... 1.81299949e-03
 3.11378186e-04 3.93818373e-05]",./outputs/extra_images/Cars_47_Extra.png,1.0
48,[0.34147784 0.34147784 0.08188038 ... 0.01807399 0.07021302 0.17375085],./outputs/extra_images/Cars_48_Extra.png,1.0
49,[0.36701936 0.36701936 0.06724981 ... 0.00369934 0.01901987 0.37408623],./outputs/extra_images/Cars_49_Extra.png,1.0
50,[0.04811793 0.03065943 0.01685442 ... 0.01682752 0.01177046 0.12269022],./outputs/extra_images/Cars_50_Extra.png,1.0
51,[0.02332185 0.00996065 0.05045946 ... 0.00530437 0.00213812 0.07378785],./outputs/extra_images/Cars_51_Extra.png,1.0
52,[0.16250508 0.17681015 0.17274727 ... 0.00403332 0.01035476 0.15297857],./outputs/extra_images/Cars_52_Extra.png,1.0
53,[0.10705959 0.02612938 0.3004536  ... 0.00070035 0.00044093 0.00214784],./outputs/extra_images/Cars_53_Extra.png,1.0
54,[0.06258579 0.04788398 0.0381956  ... 0.0146263  0.01844309 0.10083386],./outputs/extra_images/Cars_54_Extra.png,1.0
55,[0.37605816 0.37605816 0.03253745 ... 0.00095473 0.00246691 0.37494057],./outputs/extra_images/Cars_55_Extra.png,1.0
56,[0.1021085  0.11676844 0.13953517 ... 0.03263921 0.04542958 0.10460459],./outputs/extra_images/Cars_56_Extra.png,1.0
57,[0.23580854 0.1438033  0.08516303 ... 0.02679883 0.03054275 0.31448045],./outputs/extra_images/Cars_57_Extra.png,1.0
58,[0.17636448 0.16488416 0.14913675 ... 0.01235272 0.03150246 0.10699243],./outputs/extra_images/Cars_58_Extra.png,1.0
59,[0.15977466 0.12834644 0.03076482 ... 0.01059391 0.02665491 0.13928978],./outputs/extra_images/Cars_59_Extra.png,1.0
60,[0.29787016 0.29787016 0.17120042 ... 0.09423476 0.07977112 0.1495441 ],./outputs/extra_images/Cars_60_Extra.png,1.0
61,[0.05773234 0.01697777 0.28987557 ... 0.01910474 0.03096266 0.10404474],./outputs/extra_images/Cars_61_Extra.png,1.0
62,[0.14194562 0.17553154 0.1346534  ... 0.15163215 0.14844842 0.04914563],./outputs/extra_images/Cars_62_Extra.png,1.0
63,[0.40873247 0.40873247 0.03268763 ... 0.00356414 0.00187077 0.34472778],./outputs/extra_images/Cars_63_Extra.png,1.0
64,[0.06095932 0.08231224 0.09622447 ... 0.05519539 0.10582789 0.21424024],./outputs/extra_images/Cars_64_Extra.png,1.0
65,[0.34843871 0.32577026 0.04913605 ... 0.01002723 0.00610344 0.42094117],./outputs/extra_images/Cars_65_Extra.png,1.0
66,[0.22288555 0.12975986 0.06836867 ... 0.15666248 0.14725351 0.13424835],./outputs/extra_images/Cars_66_Extra.png,1.0
67,[0.03330344 0.01783648 0.082752   ... 0.16715635 0.08468401 0.12850791],./outputs/extra_images/Cars_67_Extra.png,1.0
68,[0.04617992 0.06125177 0.08727501 ... 0.00721396 0.04941131 0.28070337],./outputs/extra_images/Cars_68_Extra.png,1.0
69,[0.34751371 0.12795216 0.05041245 ... 0.01492975 0.0622232  0.44552609],./outputs/extra_images/Cars_69_Extra.png,1.0
70,[0.24751253 0.13104095 0.06716011 ... 0.21249878 0.22872359 0.12389685],./outputs/extra_images/Cars_70_Extra.png,1.0
71,[0.05546048 0.01656867 0.00893052 ... 0.18771103 0.21970001 0.0578908 ],./outputs/extra_images/Cars_71_Extra.png,1.0
72,[0.02654377 0.06912005 0.17395397 ... 0.08734377 0.06462756 0.32406875],./outputs/extra_images/Cars_72_Extra.png,1.0
73,[0.07789064 0.0600979  0.25026992 ... 0.02881717 0.00948444 0.05625471],./outputs/extra_images/Cars_73_Extra.png,1.0
74,[0.3245711  0.19334133 0.15616228 ... 0.27597323 0.27997577 0.2049996 ],./outputs/extra_images/Cars_74_Extra.png,1.0
75,[0.39273089 0.39273089 0.01560779 ... 0.00934076 0.02097444 0.37525129],./outputs/extra_images/Cars_75_Extra.png,1.0
76,[0.08795954 0.03759665 0.04063107 ... 0.16155206 0.0991018  0.26281884],./outputs/extra_images/Cars_76_Extra.png,1.0
77,[0.37396926 0.37396926 0.02630578 ... 0.00569518 0.00581129 0.40104586],./outputs/extra_images/Cars_77_Extra.png,1.0
78,[0.34584486 0.17729191 0.08909145 ... 0.05659434 0.06258287 0.31546611],./outputs/extra_images/Cars_78_Extra.png,1.0
79,[0.00267046 0.00030493 0.22383574 ... 0.00290304 0.00326888 0.00335513],./outputs/extra_images/Cars_79_Extra.png,1.0
80,[0.32433739 0.02757712 0.01211136 ... 0.00428505 0.00770071 0.01444395],./outputs/extra_images/Cars_80_Extra.png,1.0
81,[0.47114345 0.02134103 0.00445689 ... 0.00160513 0.00537873 0.2789858 ],./outputs/extra_images/Cars_81_Extra.png,1.0
82,[0.04726337 0.09457517 0.06545893 ... 0.01297465 0.00276799 0.01282588],./outputs/extra_images/Cars_82_Extra.png,1.0
83,[0.07493421 0.03612991 0.04227904 ... 0.01172225 0.00263979 0.02591227],./outputs/extra_images/Cars_83_Extra.png,1.0
84,[0.19852588 0.12152678 0.04251301 ... 0.00202456 0.00222373 0.03474225],./outputs/extra_images/Cars_84_Extra.png,1.0
85,[0.01984311 0.0068481  0.04721312 ... 0.00215359 0.00063104 0.00405154],./outputs/extra_images/Cars_85_Extra.png,1.0
86,[0.23349956 0.17431937 0.06776674 ... 0.02118481 0.00701699 0.00228039],./outputs/extra_images/Cars_86_Extra.png,1.0
87,[0.47373587 0.25577325 0.00370812 ... 0.00426965 0.02516712 0.35446081],./outputs/extra_images/Cars_87_Extra.png,1.0
88,[0.46350092 0.03996201 0.02446762 ... 0.03002369 0.04057221 0.06473739],./outputs/extra_images/Cars_88_Extra.png,1.0
89,[0.22364138 0.01436434 0.01375884 ... 0.03764512 0.04500237 0.05741308],./outputs/extra_images/Cars_89_Extra.png,1.0
90,[0.34398803 0.17284873 0.03442114 ... 0.12787482 0.12285998 0.10799327],./outputs/extra_images/Cars_90_Extra.png,1.0
